;ACP;IQR;count;mean;median;pol;q1;q3;std
169;PROCESSING_ACPS_PETROLINA - JUAZEIRO;1.0;5398.0;0.27269359021859946;0.0;POLICIES_rent;0.0;1.0;0.4453445812764426
170;PROCESSING_ACPS_PETROLINA - JUAZEIRO;1.0;5498.0;0.27355401964350673;0.0;POLICIES_wage;0.0;1.0;0.44578270264825964
171;PROCESSING_ACPS_PETROLINA - JUAZEIRO;0.0;5396.0;0.18106004447739066;0.0;POLICIES_no_policy;0.0;0.0;0.3850679222828564
172;PROCESSING_ACPS_RIBEIRAO PRETO;0.0;5332.0;0.01800450112528132;0.0;POLICIES_buy;0.0;0.0;0.13296743610565356
173;PROCESSING_ACPS_RIBEIRAO PRETO;1.0;5393.0;0.2827739662525496;0.0;POLICIES_rent;0.0;1.0;0.4503474772465718
174;PROCESSING_ACPS_RIBEIRAO PRETO;1.0;5555.0;0.28244824482448244;0.0;POLICIES_wage;0.0;1.0;0.4501902195961742
175;PROCESSING_ACPS_RIBEIRAO PRETO;0.0;5353.0;0.160844386325425;0.0;POLICIES_no_policy;0.0;0.0;0.3673873564958686
176;PROCESSING_ACPS_RIO DE JANEIRO;1.0;5531.0;0.27264509130356174;0.0;POLICIES_buy;0.0;1.0;0.4453198238251181
177;PROCESSING_ACPS_RIO DE JANEIRO;1.0;5388.0;0.2848923533778768;0.0;POLICIES_rent;0.0;1.0;0.4513631579611829
178;PROCESSING_ACPS_RIO DE JANEIRO;1.0;5419.0;0.2871378483114966;0.0;POLICIES_wage;0.0;1.0;0.4524264629512078
179;PROCESSING_ACPS_RIO DE JANEIRO;1.0;5541.0;0.2737772965168742;0.0;POLICIES_no_policy;0.0;1.0;0.4458960511473338
180;PROCESSING_ACPS_SANTOS;0.0;5466.0;0.011891694109037688;0.0;POLICIES_buy;0.0;0.0;0.10839871641423975
181;PROCESSING_ACPS_SANTOS;1.0;5379.0;0.27867633389105784;0.0;POLICIES_rent;0.0;1.0;0.4483478948540938
182;PROCESSING_ACPS_SANTOS;1.0;5511.0;0.28288876791870804;0.0;POLICIES_wage;0.0;1.0;0.45040283403209547
183;PROCESSING_ACPS_SANTOS;0.0;5343.0;0.14673404454426353;0.0;POLICIES_no_policy;0.0;0.0;0.3538405922388578
184;PROCESSING_ACPS_VOLTA REDONDA - BARRA MANSA;0.0;5336.0;0.03110944527736132;0.0;POLICIES_buy;0.0;0.0;0.17361350089176875
185;PROCESSING_ACPS_VOLTA REDONDA - BARRA MANSA;1.0;5417.0;0.26952187557688756;0.0;POLICIES_rent;0.0;1.0;0.44371143118293027
186;PROCESSING_ACPS_VOLTA REDONDA - BARRA MANSA;1.0;5484.0;0.2861050328227571;0.0;POLICIES_wage;0.0;1.0;0.45193909215318623
187;PROCESSING_ACPS_VOLTA REDONDA - BARRA MANSA;0.0;5362.0;0.17232375979112272;0.0;POLICIES_no_policy;0.0;0.0;0.37766159667429006
